permno
10874
11308
11404
11786
13856
16432
16600
17144
17750
18163
18411
18729
20482
21207
21776
22111
22752
24010
24109
24205
25320
26825
27959
42200
43449
45911
46578
47466
47626
48486
51369
52476
53065
53613
56274
61241
64936
69032
71298
75175
75341
76644
77649
80539
82598
83601
84519
85663
86102
88664
